parameter_group,id,norman_header,norman1,norman2,nor_variable,app_variable,convert,ep_schema,ep_table,ep_variable,epa3_variable,app_variable_name,,status,edi_table,id2,conversion,remark,example
Test substance,23,Purity qualifier,test_purity_mean_op,,1,,,ecotox,tests,test_purity_mean_op,test_purity_mean_op,,,,,,,,
Test substance,24,Purity [%] of test substance,test_purity_mean,,1,,,ecotox,tests,test_purity_mean,test_purity_mean,,,,,,,,
Test substance,25,Suplier of test item,test_item,,1,,,,created,test_item,test_item,,,,,,,,
Test substance,26,Vehicle substance,carr_name,,1,,,ecotox,chemical_carriers,carr_name,carr_name,,,,,,,,
Test substance,27,Concentrations of vehicle or impurities,carr_characteristics,,1,,,ecotox,chemical_carriers,carr_characteristics,carr_characteristics,,,,,,,,
Test substance,28,Radio labeled substance,test_radiolabel,,1,,,ecotox,tests,test_radiolabel,test_radiolabel,,,,,,,,
Test substance,29,Preparation of stock solution,prep_stock,,1,,,,created,prep_stock,prep_stock,,,,,,,,
Biotest,30,Standard Qualifier,standard_qualifier,,1,,,,created,standard_qualifier,standard_qualifier,,,,,,,,
Biotest,31,Standard used,test_method,,1,,,ecotox,tests,test_method,test_method,,,,,,,,
Biotest,32,Deviations from standard,standard_deviation,,1,,,,created,standard_deviation,standard_deviation,,,,,,,,
Biotest,33,Principles of method if other than guideline,test_method_princip,,1,,,,created,tests.additional_comments+results.additional_comments,tests.additional_comments+results.additional_comments,,,,,,,,
Biotest,34,GLP Certificate,glp_certificate,,1,,,,created,test_method,test_method,,,,,,,,
Biotest,35,Standard qualifier,effect,,1,1,,ecotox,results,effect,effect,tes_effect,,,,,,,"MOR, ITX, GRO"
Biotest,36,Effect measurement,measurement,,1,,,ecotox,results,measurement,measurement,,,,,,,,"MORT, ABND, WGHT"
Biotest,37,Endpoint,endpoint,,1,1,,ecotox,results,endpoint,endpoint,tes_endpoint,,,,,,,
Biotest,38,Test Duration,obs_duration_mean,obs_duration_mean_conv,1,1,1,ecotox,results,obs_duration_mean,obs_duration_mean_conv,obs_duration_mean_conv,,,,,yes,,
Biotest,39,Test Duration Unit,obs_duration_unit,obs_duration_unit_conv,1,1,1,ecotox,results,obs_duration_unit,obs_duration_unit_conv,obs_duration_unit_conv,,,,,yes,,
Biotest,40,Total Test Duration,study_duration,,1,,,,created,study_duration_mean+study_duration_unit,study_duration_mean+study_duration_unit,,,,,,,,
Biotest,41,Recovery,recovery,,1,,,,created,n.a.,n.a.,,,,,,,,
Test organism,42,Scientific name,latin_name,,1,1,,ecotox,species,latin_name,latin_name,taxon,,,,,,,
Test organism,43,Common name,tax_common_name,,1,,,ecotox,species,common_name,common_name,tax_common_name,,,,,,,
Test organism,44,Taxonomic group,tax_ecotox_grp,,1,1,,,created,tax_ecotox_grp,tax_ecotox_grp,tax_ecotox_grp,,,,,,,
Test organism,45,Body length control,body_length_control,,1,,,,created,n.a.,n.a.,,,,,,,,
Test organism,46,Body length unit,body_length_unit,,1,,,,created,n.a.,n.a.,,,,,,,,
Test organism,47,Body weight control,organism_init_wt_mean,,1,,,ecotox,tests,organism_init_wt_mean,organism_init_wt_mean,,,,,,,,
Test organism,48,Body weight unit,organism_init_wt_unit,,1,,,ecotox,tests,organism_init_wt_unit,organism_init_wt_unit,,,,,,,,
Test organism,49,Biomass loading rate / Initial cell density,cell_density_init,,1,,,,created,n.a.,n.a.,,,,,,,,
