conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
fish,mg/kg/fish,no,1,mg/kg,mass/mass,2170696,45298906,,157,0.2,mg/kg/fish,0.2,mg/kg/fish,0.2,mg/kg,
,ul/org,no,,,volume/organism,1138871,79107,72.06,157,100,ul/org,100,ul/org,,,
fd,mg/l,yes,1000,ug/l,mass/volume,2246973,56773423,629.4,156,1,mg/L fd,1000,ug/l,1000,ug/l,
,cm3/hl,yes,10,ul/l,volume/volume,2264167,138261413,255.66,155,50,cm3/hL,500,ul/l,500,ul/l,
,ml/hl,yes,10,ul/l,volume/volume,2313320,95737681,321.4,154,75,ml/hl,750,ul/l,,,
,ug/org/d,no,,,mass/organism/time,2294703,10102188,172.93774,153,0.5,ug/org/d,0.5,ug/org/d,,,
fd,ppm,yes,1000,ppb,fraction,795790,13718268,121.929,152,363.2,ppm dw fd,363200,ppb,,,
wet wt,pg/g,yes,1E-06,mg/kg,mass/mass,251226,1746016,322,151,717,pg/g wet wt,0.000717,mg/kg,0.000717,mg/kg,
AI ,% w/v,no,,,fraction/volume,1209090,50293,354.5,150,0.1,AI % w/v,0.1,AI % w/v,,,
food,ppb,yes,1,ppb,fraction,2315739,1912249,215.68,149,200,ppb food,200,ppb,,,
,umol,no,,,mol,1026526,103577453,369.4,149,30,umol,30,umol,,,
